lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
12250.0,68894.29000000266,50.0,60272.74000000266,0.7038,78199.2077523246,60.0,67894.5077523246,0.8412,9304.91775232194
12500.0,69070.24000000267,50.0,60272.74000000266,0.7038,78409.5077523246,60.0,67894.5077523246,0.8412,9339.267752321932
12750.0,69246.19000000267,50.0,60272.74000000266,0.7038,78619.8077523246,60.0,67894.5077523246,0.8412,9373.617752321938
13000.0,69422.14000000266,50.0,60272.74000000266,0.7038,78830.1077523246,60.0,67894.5077523246,0.8412,9407.967752321943
13250.0,69598.09000000266,50.0,60272.74000000266,0.7038,79040.4077523246,60.0,67894.5077523246,0.8412,9442.317752321935
13500.0,69774.04000000266,50.0,60272.74000000266,0.7038,79250.7077523246,60.0,67894.5077523246,0.8412,9476.66775232194
13750.0,69949.99000000267,50.0,60272.74000000266,0.7038,79461.0077523246,60.0,67894.5077523246,0.8412,9511.017752321932
14000.0,70125.94000000267,50.0,60272.74000000266,0.7038,79671.3077523246,60.0,67894.5077523246,0.8412,9545.367752321938
14250.0,70301.89000000266,50.0,60272.74000000266,0.7038,79881.6077523246,60.0,67894.5077523246,0.8412,9579.717752321943
14500.0,70477.84000000266,50.0,60272.74000000266,0.7038,80091.9077523246,60.0,67894.5077523246,0.8412,9614.067752321935
14750.0,70653.79000000266,50.0,60272.74000000266,0.7038,80302.2077523246,60.0,67894.5077523246,0.8412,9648.41775232194
15000.0,70829.74000000267,50.0,60272.74000000266,0.7038,80512.5077523246,60.0,67894.5077523246,0.8412,9682.767752321932
15250.0,71005.69000000267,50.0,60272.74000000266,0.7038,80722.8077523246,60.0,67894.5077523246,0.8412,9717.117752321938
15500.0,71181.64000000266,50.0,60272.74000000266,0.7038,80933.1077523246,60.0,67894.5077523246,0.8412,9751.467752321943
15750.0,71357.59000000266,50.0,60272.74000000266,0.7038,81143.4077523246,60.0,67894.5077523246,0.8412,9785.817752321935
16000.0,71533.54000000266,50.0,60272.74000000266,0.7038,81353.7077523246,60.0,67894.5077523246,0.8412,9820.16775232194
16250.0,71709.49000000267,50.0,60272.74000000266,0.7038,81564.0077523246,60.0,67894.5077523246,0.8412,9854.517752321932
16500.0,71885.44000000267,50.0,60272.74000000266,0.7038,81774.3077523246,60.0,67894.5077523246,0.8412,9888.867752321938
16750.0,72061.39000000266,50.0,60272.74000000266,0.7038,81984.6077523246,60.0,67894.5077523246,0.8412,9923.217752321943
17000.0,72237.34000000266,50.0,60272.74000000266,0.7038,82194.9077523246,60.0,67894.5077523246,0.8412,9957.567752321935
17250.0,72413.29000000266,50.0,60272.74000000266,0.7038,82405.2077523246,60.0,67894.5077523246,0.8412,9991.91775232194
17500.0,72589.24000000267,50.0,60272.74000000266,0.7038,82615.5077523246,60.0,67894.5077523246,0.8412,10026.267752321932
17750.0,72765.19000000267,50.0,60272.74000000266,0.7038,82825.8077523246,60.0,67894.5077523246,0.8412,10060.617752321938
18000.0,72941.14000000266,50.0,60272.74000000266,0.7038,83036.1077523246,60.0,67894.5077523246,0.8412,10094.967752321943
18250.0,73117.09000000266,50.0,60272.74000000266,0.7038,83246.4077523246,60.0,67894.5077523246,0.8412,10129.317752321935
18500.0,73293.04000000266,50.0,60272.74000000266,0.7038,83424.30759635346,45.0,70404.00759635346,0.7038,10131.267596350808
18750.0,73468.99000000267,50.0,60272.74000000266,0.7038,83600.25759635346,45.0,70404.00759635346,0.7038,10131.267596350794
19000.0,73644.94000000267,50.0,60272.74000000266,0.7038,83776.20759635346,45.0,70404.00759635346,0.7038,10131.267596350794
19250.0,73820.89000000266,50.0,60272.74000000266,0.7038,83952.15759635346,45.0,70404.00759635346,0.7038,10131.267596350794
19500.0,73996.84000000266,50.0,60272.74000000266,0.7038,84128.10759635347,45.0,70404.00759635346,0.7038,10131.267596350808
19750.0,74172.79000000266,50.0,60272.74000000266,0.7038,84304.05759635346,45.0,70404.00759635346,0.7038,10131.267596350808
20000.0,74348.74000000267,50.0,60272.74000000266,0.7038,84480.00759635346,45.0,70404.00759635346,0.7038,10131.267596350794
20250.0,74524.69000000267,50.0,60272.74000000266,0.7038,84655.95759635346,45.0,70404.00759635346,0.7038,10131.267596350794
20500.0,74700.64000000266,50.0,60272.74000000266,0.7038,84831.90759635346,45.0,70404.00759635346,0.7038,10131.267596350794
20750.0,74876.59000000266,50.0,60272.74000000266,0.7038,85007.85759635347,45.0,70404.00759635346,0.7038,10131.267596350808
21000.0,75052.54000000266,50.0,60272.74000000266,0.7038,85183.80759635346,45.0,70404.00759635346,0.7038,10131.267596350808
21250.0,75228.49000000267,50.0,60272.74000000266,0.7038,85359.75759635346,45.0,70404.00759635346,0.7038,10131.267596350794
21500.0,75404.44000000267,50.0,60272.74000000266,0.7038,85535.70759635346,45.0,70404.00759635346,0.7038,10131.267596350794
21750.0,75580.39000000266,50.0,60272.74000000266,0.7038,85711.65759635346,45.0,70404.00759635346,0.7038,10131.267596350794
22000.0,75756.34000000266,50.0,60272.74000000266,0.7038,85887.60759635347,45.0,70404.00759635346,0.7038,10131.267596350808
22250.0,75932.29000000266,50.0,60272.74000000266,0.7038,86063.55759635346,45.0,70404.00759635346,0.7038,10131.267596350808
22500.0,76108.24000000267,50.0,60272.74000000266,0.7038,86239.50759635346,45.0,70404.00759635346,0.7038,10131.267596350794
22750.0,76284.19000000267,50.0,60272.74000000266,0.7038,86415.45759635346,45.0,70404.00759635346,0.7038,10131.267596350794
23000.0,76460.14000000266,50.0,60272.74000000266,0.7038,86591.40759635346,45.0,70404.00759635346,0.7038,10131.267596350794
23250.0,76636.09000000266,50.0,60272.74000000266,0.7038,86767.35759635347,45.0,70404.00759635346,0.7038,10131.267596350808
23500.0,76812.04000000266,50.0,60272.74000000266,0.7038,86943.30759635346,45.0,70404.00759635346,0.7038,10131.267596350808
23750.0,76987.99000000267,50.0,60272.74000000266,0.7038,87119.25759635346,45.0,70404.00759635346,0.7038,10131.267596350794
24000.0,77163.94000000267,50.0,60272.74000000266,0.7038,87295.20759635346,45.0,70404.00759635346,0.7038,10131.267596350794
24250.0,77339.89000000266,50.0,60272.74000000266,0.7038,87471.15759635346,45.0,70404.00759635346,0.7038,10131.267596350794
24500.0,77515.84000000266,50.0,60272.74000000266,0.7038,87647.10759635345,45.0,70404.00759635346,0.7038,10131.267596350794
24750.0,77691.79000000266,50.0,60272.74000000266,0.7038,87823.05759635346,45.0,70404.00759635346,0.7038,10131.267596350808
25000.0,77867.74000000267,50.0,60272.74000000266,0.7038,87999.00759635346,45.0,70404.00759635346,0.7038,10131.267596350794
25250.0,78043.69000000267,50.0,60272.74000000266,0.7038,88174.95759635346,45.0,70404.00759635346,0.7038,10131.267596350794
25500.0,78219.64000000266,50.0,60272.74000000266,0.7038,88350.90759635346,45.0,70404.00759635346,0.7038,10131.267596350794
25750.0,78395.59000000266,50.0,60272.74000000266,0.7038,88526.85759635345,45.0,70404.00759635346,0.7038,10131.267596350794
26000.0,78571.54000000266,50.0,60272.74000000266,0.7038,88702.80759635346,45.0,70404.00759635346,0.7038,10131.267596350808
26250.0,78747.49000000267,50.0,60272.74000000266,0.7038,88878.75759635346,45.0,70404.00759635346,0.7038,10131.267596350794
26500.0,78923.44000000267,50.0,60272.74000000266,0.7038,89054.70759635346,45.0,70404.00759635346,0.7038,10131.267596350794
26750.0,79099.39000000266,50.0,60272.74000000266,0.7038,89230.65759635346,45.0,70404.00759635346,0.7038,10131.267596350794
27000.0,79275.34000000266,50.0,60272.74000000266,0.7038,89406.60759635345,45.0,70404.00759635346,0.7038,10131.267596350794
27250.0,79451.29000000266,50.0,60272.74000000266,0.7038,89582.55759635346,45.0,70404.00759635346,0.7038,10131.267596350808
27500.0,79627.24000000267,50.0,60272.74000000266,0.7038,89758.50759635346,45.0,70404.00759635346,0.7038,10131.267596350794
27750.0,79803.19000000267,50.0,60272.74000000266,0.7038,89934.45759635346,45.0,70404.00759635346,0.7038,10131.267596350794
28000.0,79979.14000000266,50.0,60272.74000000266,0.7038,90110.40759635346,45.0,70404.00759635346,0.7038,10131.267596350794
28250.0,80155.09000000266,50.0,60272.74000000266,0.7038,90286.35759635345,45.0,70404.00759635346,0.7038,10131.267596350794
28500.0,80331.04000000266,50.0,60272.74000000266,0.7038,90462.30759635346,45.0,70404.00759635346,0.7038,10131.267596350808
28750.0,80506.99000000267,50.0,60272.74000000266,0.7038,90638.25759635346,45.0,70404.00759635346,0.7038,10131.267596350794
29000.0,80682.94000000267,50.0,60272.74000000266,0.7038,90814.20759635346,45.0,70404.00759635346,0.7038,10131.267596350794
29250.0,80858.89000000266,50.0,60272.74000000266,0.7038,90990.15759635346,45.0,70404.00759635346,0.7038,10131.267596350794
29500.0,81034.84000000266,50.0,60272.74000000266,0.7038,91166.10759635345,45.0,70404.00759635346,0.7038,10131.267596350794
29750.0,81210.79000000266,50.0,60272.74000000266,0.7038,91342.05759635346,45.0,70404.00759635346,0.7038,10131.267596350808
30000.0,81386.74000000267,50.0,60272.74000000266,0.7038,91518.00759635346,45.0,70404.00759635346,0.7038,10131.267596350794
30250.0,81562.69000000267,50.0,60272.74000000266,0.7038,91693.95759635346,45.0,70404.00759635346,0.7038,10131.267596350794
30500.0,81738.64000000266,50.0,60272.74000000266,0.7038,91869.90759635346,45.0,70404.00759635346,0.7038,10131.267596350794
30750.0,81914.59000000266,50.0,60272.74000000266,0.7038,92045.85759635345,45.0,70404.00759635346,0.7038,10131.267596350794
31000.0,82090.54000000266,50.0,60272.74000000266,0.7038,92221.80759635346,45.0,70404.00759635346,0.7038,10131.267596350808
31250.0,82266.49000000267,50.0,60272.74000000266,0.7038,92397.75759635346,45.0,70404.00759635346,0.7038,10131.267596350794
31500.0,82442.44000000267,50.0,60272.74000000266,0.7038,92573.70759635346,45.0,70404.00759635346,0.7038,10131.267596350794
31750.0,82618.39000000266,50.0,60272.74000000266,0.7038,92749.65759635346,45.0,70404.00759635346,0.7038,10131.267596350794
32000.0,82794.34000000266,50.0,60272.74000000266,0.7038,92925.60759635345,45.0,70404.00759635346,0.7038,10131.267596350794
32250.0,82970.29000000266,50.0,60272.74000000266,0.7038,93101.55759635346,45.0,70404.00759635346,0.7038,10131.267596350808
32500.0,83146.24000000267,50.0,60272.74000000266,0.7038,93277.50759635346,45.0,70404.00759635346,0.7038,10131.267596350794
32750.0,83322.19000000267,50.0,60272.74000000266,0.7038,93453.45759635346,45.0,70404.00759635346,0.7038,10131.267596350794
33000.0,83498.14000000266,50.0,60272.74000000266,0.7038,93629.40759635346,45.0,70404.00759635346,0.7038,10131.267596350794
33250.0,83674.09000000266,50.0,60272.74000000266,0.7038,93805.35759635345,45.0,70404.00759635346,0.7038,10131.267596350794
33500.0,83850.04000000266,50.0,60272.74000000266,0.7038,93981.30759635346,45.0,70404.00759635346,0.7038,10131.267596350808
33750.0,84025.99000000267,50.0,60272.74000000266,0.7038,94157.25759635346,45.0,70404.00759635346,0.7038,10131.267596350794
34000.0,84201.94000000267,50.0,60272.74000000266,0.7038,94333.20759635346,45.0,70404.00759635346,0.7038,10131.267596350794
34250.0,84377.89000000266,50.0,60272.74000000266,0.7038,94509.15759635346,45.0,70404.00759635346,0.7038,10131.267596350794
34500.0,84553.84000000266,50.0,60272.74000000266,0.7038,94685.10759635345,45.0,70404.00759635346,0.7038,10131.267596350794
34750.0,84729.79000000266,50.0,60272.74000000266,0.7038,94861.05759635346,45.0,70404.00759635346,0.7038,10131.267596350808
35000.0,84905.74000000267,50.0,60272.74000000266,0.7038,95037.00759635346,45.0,70404.00759635346,0.7038,10131.267596350794
35250.0,85081.69000000267,50.0,60272.74000000266,0.7038,95212.95759635346,45.0,70404.00759635346,0.7038,10131.267596350794
35500.0,85257.64000000266,50.0,60272.74000000266,0.7038,95388.90759635346,45.0,70404.00759635346,0.7038,10131.267596350794
35750.0,85433.59000000266,50.0,60272.74000000266,0.7038,95564.85759635345,45.0,70404.00759635346,0.7038,10131.267596350794
36000.0,85609.54000000266,50.0,60272.74000000266,0.7038,95740.80759635346,45.0,70404.00759635346,0.7038,10131.267596350808
36250.0,85785.49000000267,50.0,60272.74000000266,0.7038,95916.75759635346,45.0,70404.00759635346,0.7038,10131.267596350794
36500.0,85961.44000000267,50.0,60272.74000000266,0.7038,96092.70759635346,45.0,70404.00759635346,0.7038,10131.267596350794
36750.0,86137.39000000266,50.0,60272.74000000266,0.7038,96268.65759635346,45.0,70404.00759635346,0.7038,10131.267596350794
37000.0,86313.34000000266,50.0,60272.74000000266,0.7038,96444.60759635345,45.0,70404.00759635346,0.7038,10131.267596350794
37250.0,86489.29000000266,50.0,60272.74000000266,0.7038,96620.55759635346,45.0,70404.00759635346,0.7038,10131.267596350808
37500.0,86665.24000000267,50.0,60272.74000000266,0.7038,96796.50759635346,45.0,70404.00759635346,0.7038,10131.267596350794
37750.0,86829.68766901601,35.0,65142.312669016006,0.5745,96972.45759635346,45.0,70404.00759635346,0.7038,10142.769927337446
38000.0,86973.31266901601,35.0,65142.312669016006,0.5745,97148.40759635346,45.0,70404.00759635346,0.7038,10175.094927337443
38250.0,87116.93766901601,35.0,65142.312669016006,0.5745,97324.35759635345,45.0,70404.00759635346,0.7038,10207.41992733744
38500.0,87260.56266901601,35.0,65142.312669016006,0.5745,97500.30759635346,45.0,70404.00759635346,0.7038,10239.744927337451
38750.0,87404.18766901601,35.0,65142.312669016006,0.5745,97676.25759635346,45.0,70404.00759635346,0.7038,10272.069927337448
39000.0,87547.81266901601,35.0,65142.312669016006,0.5745,97852.20759635346,45.0,70404.00759635346,0.7038,10304.394927337446
39250.0,87691.43766901601,35.0,65142.312669016006,0.5745,98028.15759635346,45.0,70404.00759635346,0.7038,10336.719927337443
39500.0,87835.06266901601,35.0,65142.312669016006,0.5745,98204.10759635345,45.0,70404.00759635346,0.7038,10369.04492733744
39750.0,87978.68766901601,35.0,65142.312669016006,0.5745,98380.05759635346,45.0,70404.00759635346,0.7038,10401.369927337451
40000.0,88122.31266901601,35.0,65142.312669016006,0.5745,98556.00759635346,45.0,70404.00759635346,0.7038,10433.694927337448
40250.0,88265.93766901601,35.0,65142.312669016006,0.5745,98731.95759635346,45.0,70404.00759635346,0.7038,10466.019927337446
40500.0,88409.56266901601,35.0,65142.312669016006,0.5745,98907.90759635346,45.0,70404.00759635346,0.7038,10498.344927337443
40750.0,88553.18766901601,35.0,65142.312669016006,0.5745,99083.85759635345,45.0,70404.00759635346,0.7038,10530.66992733744
41000.0,88696.81266901601,35.0,65142.312669016006,0.5745,99259.80759635346,45.0,70404.00759635346,0.7038,10562.994927337451
41250.0,88840.43766901601,35.0,65142.312669016006,0.5745,99435.75759635346,45.0,70404.00759635346,0.7038,10595.319927337448
41500.0,88984.06266901601,35.0,65142.312669016006,0.5745,99611.70759635346,45.0,70404.00759635346,0.7038,10627.644927337446
41750.0,89127.68766901601,35.0,65142.312669016006,0.5745,99787.65759635346,45.0,70404.00759635346,0.7038,10659.969927337443
42000.0,89271.31266901601,35.0,65142.312669016006,0.5745,99963.60759635345,45.0,70404.00759635346,0.7038,10692.29492733744
42250.0,89414.93766901601,35.0,65142.312669016006,0.5745,100139.55759635346,45.0,70404.00759635346,0.7038,10724.619927337451
42500.0,89558.56266901601,35.0,65142.312669016006,0.5745,100315.50759635346,45.0,70404.00759635346,0.7038,10756.944927337448
42750.0,89702.18766901601,35.0,65142.312669016006,0.5745,100491.45759635346,45.0,70404.00759635346,0.7038,10789.269927337446
43000.0,89845.81266901601,35.0,65142.312669016006,0.5745,100667.40759635346,45.0,70404.00759635346,0.7038,10821.594927337443
43250.0,89989.43766901601,35.0,65142.312669016006,0.5745,100843.35759635345,45.0,70404.00759635346,0.7038,10853.91992733744
43500.0,90133.06266901601,35.0,65142.312669016006,0.5745,101019.30759635346,45.0,70404.00759635346,0.7038,10886.244927337451
43750.0,90276.68766901601,35.0,65142.312669016006,0.5745,101195.25759635346,45.0,70404.00759635346,0.7038,10918.569927337448
44000.0,90420.31266901601,35.0,65142.312669016006,0.5745,101371.20759635346,45.0,70404.00759635346,0.7038,10950.894927337446
44250.0,90563.93766901601,35.0,65142.312669016006,0.5745,101547.15759635346,45.0,70404.00759635346,0.7038,10983.219927337443
44500.0,90707.56266901601,35.0,65142.312669016006,0.5745,101723.10759635345,45.0,70404.00759635346,0.7038,11015.54492733744
44750.0,90851.18766901601,35.0,65142.312669016006,0.5745,101899.05759635346,45.0,70404.00759635346,0.7038,11047.869927337451
45000.0,90994.81266901601,35.0,65142.312669016006,0.5745,102075.00759635346,45.0,70404.00759635346,0.7038,11080.194927337448
45250.0,91138.43766901601,35.0,65142.312669016006,0.5745,102250.95759635346,45.0,70404.00759635346,0.7038,11112.519927337446
45500.0,91282.06266901601,35.0,65142.312669016006,0.5745,102426.90759635346,45.0,70404.00759635346,0.7038,11144.844927337443
45750.0,91425.68766901601,35.0,65142.312669016006,0.5745,102602.85759635345,45.0,70404.00759635346,0.7038,11177.16992733744
46000.0,91569.31266901601,35.0,65142.312669016006,0.5745,102778.80759635346,45.0,70404.00759635346,0.7038,11209.494927337451
46250.0,91712.93766901601,35.0,65142.312669016006,0.5745,102954.75759635346,45.0,70404.00759635346,0.7038,11241.819927337448
46500.0,91856.56266901601,35.0,65142.312669016006,0.5745,103130.70759635346,45.0,70404.00759635346,0.7038,11274.144927337446
46750.0,92000.18766901601,35.0,65142.312669016006,0.5745,103306.65759635347,45.0,70404.00759635346,0.7038,11306.469927337457
47000.0,92143.81266901601,35.0,65142.312669016006,0.5745,103482.60759635345,45.0,70404.00759635346,0.7038,11338.79492733744
47250.0,92287.43766901601,35.0,65142.312669016006,0.5745,103658.55759635346,45.0,70404.00759635346,0.7038,11371.119927337451
47500.0,92431.06266901601,35.0,65142.312669016006,0.5745,103834.50759635346,45.0,70404.00759635346,0.7038,11403.444927337448
47750.0,92574.68766901601,35.0,65142.312669016006,0.5745,104010.45759635346,45.0,70404.00759635346,0.7038,11435.769927337446
48000.0,92718.31266901601,35.0,65142.312669016006,0.5745,104186.40759635347,45.0,70404.00759635346,0.7038,11468.094927337457
48250.0,92861.93766901601,35.0,65142.312669016006,0.5745,104362.35759635345,45.0,70404.00759635346,0.7038,11500.41992733744
48500.0,93005.56266901601,35.0,65142.312669016006,0.5745,104538.30759635346,45.0,70404.00759635346,0.7038,11532.744927337451
48750.0,93149.18766901601,35.0,65142.312669016006,0.5745,104714.25759635346,45.0,70404.00759635346,0.7038,11565.069927337448
49000.0,93292.81266901601,35.0,65142.312669016006,0.5745,104890.20759635346,45.0,70404.00759635346,0.7038,11597.394927337446
49250.0,93436.43766901601,35.0,65142.312669016006,0.5745,105066.15759635347,45.0,70404.00759635346,0.7038,11629.719927337457
49500.0,93580.06266901601,35.0,65142.312669016006,0.5745,105242.10759635345,45.0,70404.00759635346,0.7038,11662.04492733744
49750.0,93723.68766901601,35.0,65142.312669016006,0.5745,105418.05759635346,45.0,70404.00759635346,0.7038,11694.369927337451
50000.0,93867.31266901601,35.0,65142.312669016006,0.5745,105594.00759635346,45.0,70404.00759635346,0.7038,11726.694927337448
