policy,total_cost,downtime_hours,num_failures,num_pm,num_cbm_actions,num_inspections
RTF,23653.79307536691,7.307586150733819,1,0,0,0
RTF,48367.21384194437,16.73442768388874,2,0,0,0
RTF,104119.37514851222,48.238750297024396,4,0,0,0
RTF,106713.16536217972,53.4263307243594,4,0,0,0
RTF,101698.34425305293,43.396688506105875,4,0,0,0
RTF,76730.95809243093,33.46191618486185,3,0,0,0
RTF,52960.455726317276,25.920911452634556,2,0,0,0
RTF,129014.18301063548,58.028366021270934,5,0,0,0
RTF,83074.66390207844,46.14932780415687,3,0,0,0
RTF,79985.41490378483,39.97082980756965,3,0,0,0
RTF,50277.24471690455,20.55448943380911,2,0,0,0
RTF,126654.12411930787,53.30824823861575,5,0,0,0
RTF,102877.89659146991,45.75579318293978,4,0,0,0
RTF,49762.24184441984,19.524483688839677,2,0,0,0
RTF,56752.58571716936,33.50517143433872,2,0,0,0
RTF,78128.97923634904,36.257958472698085,3,0,0,0
RTF,47587.522369604645,15.1750447392093,2,0,0,0
RTF,107973.03956710213,55.94607913420426,4,0,0,0
RTF,95527.0635582247,31.054127116449422,4,0,0,0
RTF,107487.15674264361,54.97431348528722,4,0,0,0
RTF,75824.05927730561,31.648118554611216,3,0,0,0
RTF,22834.558778400344,5.669117556800689,1,0,0,0
RTF,76567.7583276814,33.135516655362814,3,0,0,0
RTF,98452.10284241442,36.9042056848288,4,0,0,0
RTF,72201.60573667072,24.40321147334144,3,0,0,0
RTF,52114.30339891452,24.228606797829038,2,0,0,0
RTF,51274.10018460316,22.548200369206324,2,0,0,0
RTF,79269.00322451253,38.53800644902506,3,0,0,0
RTF,102588.03482452847,45.176069649056934,4,0,0,0
RTF,100845.0672143343,41.69013442866858,4,0,0,0
RTF,77199.25885552965,34.3985177110593,3,0,0,0
RTF,79752.37622371665,39.50475244743329,3,0,0,0
RTF,84841.36329951252,49.68272659902504,3,0,0,0
RTF,102798.38467388175,45.5967693477635,4,0,0,0
RTF,57312.50497664294,34.62500995328587,2,0,0,0
RTF,77937.65986655593,35.875319733111844,3,0,0,0
RTF,107450.86377226032,54.901727544520625,4,0,0,0
RTF,126414.6646601633,52.829329320326586,5,0,0,0
RTF,143980.46533056826,87.9609306611365,5,0,0,0
RTF,48908.90291679438,17.81780583358875,2,0,0,0
RTF,49707.15797348431,19.41431594696861,2,0,0,0
RTF,51201.32601981684,22.402652039633693,2,0,0,0
RTF,105068.94229646918,50.13788459293836,4,0,0,0
RTF,108882.96022925962,57.76592045851923,4,0,0,0
RTF,58839.90693472895,37.679813869457895,2,0,0,0
RTF,72779.51968628785,25.559039372575697,3,0,0,0
RTF,132217.89627890527,64.43579255781054,5,0,0,0
RTF,103001.12948006786,46.00225896013573,4,0,0,0
RTF,54944.78951999452,29.88957903998905,2,0,0,0
RTF,57766.495934362945,35.53299186872589,2,0,0,0
RTF,54575.332769358545,29.150665538717092,2,0,0,0
RTF,75304.77904094184,30.60955808188368,3,0,0,0
RTF,50119.24280656596,20.238485613131928,2,0,0,0
RTF,91233.73997662909,62.467479953258206,3,0,0,0
RTF,79222.73730435477,38.44547460870955,3,0,0,0
RTF,74009.75605154158,28.01951210308317,3,0,0,0
RTF,54840.97130726234,29.681942614524672,2,0,0,0
RTF,99882.07634423357,39.76415268846714,4,0,0,0
RTF,45557.05506702725,11.114110134054505,2,0,0,0
RTF,53469.46614484859,26.938932289697185,2,0,0,0
RTF,50713.22464682846,21.42644929365691,2,0,0,0
RTF,102849.27898112565,45.698557962251314,4,0,0,0
RTF,101411.50921051888,42.82301842103777,4,0,0,0
RTF,26572.640441918862,13.145280883837726,1,0,0,0
RTF,26401.473580395035,12.80294716079007,1,0,0,0
RTF,74375.51857325439,28.75103714650878,3,0,0,0
RTF,112628.62576490131,65.25725152980266,4,0,0,0
RTF,70995.97204576936,21.99194409153872,3,0,0,0
RTF,107024.27246648812,54.04854493297627,4,0,0,0
RTF,115976.65126049888,71.95330252099777,4,0,0,0
RTF,128560.23277912318,57.12046555824635,5,0,0,0
RTF,75941.09243951362,31.882184879027236,3,0,0,0
RTF,80429.63497589703,40.859269951794076,3,0,0,0
RTF,51588.79209496705,23.17758418993411,2,0,0,0
RTF,141929.32661530626,83.85865323061249,5,0,0,0
RTF,79995.81014856101,39.991620297122026,3,0,0,0
RTF,92372.53807260508,24.745076145210177,4,0,0,0
RTF,74052.59026820652,28.105180536413048,3,0,0,0
RTF,78045.92740467559,36.09185480935118,3,0,0,0
RTF,73877.79107529682,27.755582150593646,3,0,0,0
RTF,53135.422383708166,26.27084476741633,2,0,0,0
RTF,75226.0147271802,30.4520294543604,3,0,0,0
RTF,54458.64879984462,28.917297599689235,2,0,0,0
RTF,79408.00730220994,38.816014604419884,3,0,0,0
RTF,80958.64263157325,41.91728526314651,3,0,0,0
RTF,75202.11815786216,30.40423631572431,3,0,0,0
RTF,56028.316250816555,32.05663250163311,2,0,0,0
RTF,53503.18974210584,27.006379484211685,2,0,0,0
RTF,70807.27701972668,21.614554039453363,3,0,0,0
RTF,81608.06800350748,43.216136007014946,3,0,0,0
RTF,51385.1714494076,22.770342898815198,2,0,0,0
RTF,104957.57974871229,49.915159497424575,4,0,0,0
RTF,82619.37349492565,45.2387469898513,3,0,0,0
RTF,72742.44890626962,25.484897812539256,3,0,0,0
RTF,110706.69553596704,61.41339107193407,4,0,0,0
RTF,50329.811461085614,20.659622922171227,2,0,0,0
RTF,47395.95865950471,14.791917319009418,2,0,0,0
RTF,75816.36679565448,31.632733591308952,3,0,0,0
RTF,103378.61382034498,46.757227640689976,4,0,0,0
RTF,52209.46139972614,24.418922799452282,2,0,0,0
RTF,120198.39832730759,40.39679665461519,5,0,0,0
RTF,126519.58118925284,53.03916237850568,5,0,0,0
RTF,76204.28855485446,32.4085771097089,3,0,0,0
RTF,71383.01615458475,22.766032309169507,3,0,0,0
RTF,101875.2457356579,43.75049147131579,4,0,0,0
RTF,102408.09177514186,44.81618355028371,4,0,0,0
RTF,78721.38980575596,37.44277961151192,3,0,0,0
RTF,55001.96890976584,30.003937819531686,2,0,0,0
RTF,54408.50241909163,28.81700483818325,2,0,0,0
RTF,102840.8734937736,45.68174698754721,4,0,0,0
RTF,29539.563305868593,19.079126611737188,1,0,0,0
RTF,74816.02762608071,29.63205525216143,3,0,0,0
RTF,50928.95919720767,21.85791839441533,2,0,0,0
RTF,100156.87919963645,40.3137583992729,4,0,0,0
RTF,106904.56125758294,53.809122515165896,4,0,0,0
RTF,102404.179579207,44.80835915841401,4,0,0,0
RTF,49024.26222992126,18.048524459842525,2,0,0,0
RTF,53355.38523199109,26.710770463982172,2,0,0,0
RTF,46109.734697093794,12.219469394187596,2,0,0,0
RTF,77528.89110447004,35.05778220894006,3,0,0,0
RTF,48959.47577809384,17.91895155618768,2,0,0,0
RTF,75796.157600361,31.592315200722005,3,0,0,0
RTF,88719.20069505853,57.438401390117065,3,0,0,0
RTF,104973.80349280169,49.947606985603386,4,0,0,0
RTF,97228.85446191739,34.457708923834765,4,0,0,0
RTF,96981.47227965946,33.96294455931889,4,0,0,0
RTF,78751.65236202773,37.50330472405547,3,0,0,0
RTF,101285.0052122464,42.57001042449278,4,0,0,0
RTF,53181.036465466226,26.36207293093245,2,0,0,0
RTF,63082.41330183326,46.16482660366651,2,0,0,0
RTF,76713.1478724774,33.4262957449548,3,0,0,0
RTF,52568.27547928087,25.136550958561727,2,0,0,0
RTF,46525.790704089406,13.051581408178805,2,0,0,0
RTF,50357.71213304157,20.715424266083133,2,0,0,0
RTF,110052.33897586576,60.10467795173149,4,0,0,0
RTF,107054.0660344422,54.108132068884416,4,0,0,0
RTF,69638.00804061058,19.27601608122117,3,0,0,0
RTF,74264.05190903542,28.528103818070857,3,0,0,0
RTF,98462.2781398041,36.92455627960821,4,0,0,0
RTF,74715.18466122003,29.43036932244006,3,0,0,0
RTF,51311.168240686915,22.62233648137383,2,0,0,0
RTF,75663.00156327241,31.326003126544826,3,0,0,0
RTF,110999.68226988972,61.999364539779414,4,0,0,0
RTF,53363.05413333022,26.726108266660432,2,0,0,0
RTF,77620.64641349914,35.241292826998276,3,0,0,0
RTF,75408.38100303081,30.816762006061616,3,0,0,0
RTF,129114.12266715293,58.22824533430585,5,0,0,0
RTF,76750.84257158541,33.50168514317081,3,0,0,0
RTF,76691.67327796118,33.38334655592237,3,0,0,0
RTF,75187.6561576744,30.375312315348793,3,0,0,0
RTF,53479.2143527876,26.9584287055752,2,0,0,0
RTF,100667.64053944244,41.33528107888486,4,0,0,0
RTF,58619.94797335896,37.23989594671792,2,0,0,0
RTF,78599.64973126835,37.1992994625367,3,0,0,0
RTF,115865.86793688423,71.73173587376846,4,0,0,0
RTF,75539.92486365473,31.079849727309455,3,0,0,0
RTF,76469.0140442829,32.938028088565794,3,0,0,0
RTF,109751.99512511329,59.50399025022659,4,0,0,0
RTF,82591.12960251374,45.18225920502748,3,0,0,0
RTF,174827.47873259298,69.65495746518596,7,0,0,0
RTF,48897.05490255298,17.794109805105965,2,0,0,0
RTF,58899.03701665085,37.79807403330169,2,0,0,0
RTF,56360.63880598646,32.72127761197293,2,0,0,0
RTF,104869.3083282233,49.7386166564466,4,0,0,0
RTF,50213.80113324221,20.42760226648442,2,0,0,0
RTF,45523.03529201057,11.046070584021145,2,0,0,0
RTF,46956.029436288314,13.912058872576633,2,0,0,0
RTF,73480.9527165525,26.961905433105045,3,0,0,0
RTF,103139.72208547471,46.27944417094942,4,0,0,0
RTF,107694.78603008714,55.38957206017429,4,0,0,0
RTF,83433.54297187575,46.867085943751505,3,0,0,0
RTF,74085.4954115591,28.170990823118185,3,0,0,0
RTF,74689.2288778847,29.37845775576939,3,0,0,0
RTF,68035.77299844942,16.071545996898855,3,0,0,0
RTF,83685.71624171943,47.37143248343888,3,0,0,0
RTF,51373.73562211155,22.747471244223103,2,0,0,0
RTF,107030.02536269091,54.06005072538182,4,0,0,0
RTF,59273.58404520857,38.547168090417145,2,0,0,0
RTF,75816.21993005055,31.632439860101112,3,0,0,0
RTF,51693.83088027074,23.387661760541484,2,0,0,0
RTF,74957.39306326945,29.914786126538914,3,0,0,0
RTF,51148.348740187066,22.29669748037412,2,0,0,0
RTF,112499.15890111323,64.99831780222647,4,0,0,0
RTF,77077.12550556626,34.154251011132516,3,0,0,0
RTF,77835.75903951807,35.67151807903613,3,0,0,0
RTF,72575.1436824201,25.150287364840175,3,0,0,0
RTF,71947.43466617091,23.894869332341823,3,0,0,0
RTF,96450.31575917122,32.90063151834245,4,0,0,0
RTF,130900.39006119348,61.80078012238695,5,0,0,0
RTF,102279.81529390409,44.559630587808186,4,0,0,0
RTF,152784.04594849018,65.56809189698036,6,0,0,0
RTF,50696.371868820795,21.392743737641588,2,0,0,0
RTF,96996.00146367784,33.992002927355685,4,0,0,0
RTF,83993.89744503246,47.98779489006492,3,0,0,0
RTF,25485.128471133576,10.970256942267147,1,0,0,0
RTF,55931.873575443075,31.863747150886148,2,0,0,0
RTF,24878.237796097295,9.756475592194588,1,0,0,0
RTF,73177.51709673172,26.35503419346344,3,0,0,0
RTF,47078.41748817067,14.156834976341344,2,0,0,0
RTF,73165.61196319091,26.331223926381806,3,0,0,0
RTF,100729.9970861969,41.45999417239381,4,0,0,0
RTF,106959.69065815548,53.91938131631097,4,0,0,0
RTF,52430.47087747937,24.860941754958745,2,0,0,0
RTF,55469.23982720963,30.938479654419268,2,0,0,0
RTF,74647.9054732117,29.295810946423376,3,0,0,0
RTF,131591.66027167605,63.1833205433521,5,0,0,0
RTF,76811.93422816074,33.623868456321475,3,0,0,0
