policy,n_runs,mean_cost,p95_cost,mean_downtime_h,p95_downtime_h,mean_failures,prob_ge_1_failure
CBM,10000,56570.92504865075,111653.91527938294,28.032730097301506,56.00368501046375,1.8669,0.8661
RTF,10000,79550.25494000984,129745.82012806593,36.656509880019655,64.17536369101165,3.0611,0.9996
TBM,10000,67122.88961238615,104245.72668659907,56.77777922477231,78.82274764909137,0.7367,0.5283
