policy,mean_cost,p50_cost,p95_cost,p_fail,mean_downtime,p95_downtime,mean_failures,mean_pm,mean_cbm_actions,mean_inspections
CBM,68665.32280663858,61181.35440278423,115059.97870499824,0.7758,46.09153801106429,67.86277631694949,1.4556,0.0,4.7652,10.5584
RTF,77116.37938116098,74863.31832488396,125496.98964445216,0.9999,36.68529896860163,63.75335824198193,3.0614,0.0,0.0,0.0
TBM,58116.33278057096,51922.439685290265,106664.41935623677,0.7322,39.10555463428492,66.03709615044214,1.2585,6.0,0.0,0.0
