policy,total_cost,downtime_hours,num_failures,num_pm,num_cbm_actions,num_inspections
RTF,75292.08796053799,35.48681326756332,3,0,0,0
RTF,45410.17375847559,15.683622930792655,2,0,0,0
RTF,20246.29641372671,3.7438273562111837,1,0,0,0
RTF,78818.20364457907,41.363672740965114,3,0,0,0
RTF,75322.63212650665,35.53772021084443,3,0,0,0
RTF,100653.69427515386,47.75615712525643,4,0,0,0
RTF,69065.42010087131,25.109033501452185,3,0,0,0
RTF,52935.73965203106,28.226232753385105,2,0,0,0
RTF,80250.89627947907,43.75149379913179,3,0,0,0
RTF,49488.88092259398,22.48146820432329,2,0,0,0
RTF,74086.92911898665,33.478215198311105,3,0,0,0
RTF,70593.7561995906,27.656260332651,3,0,0,0
RTF,94773.55082316327,37.955918038605446,4,0,0,0
RTF,76296.4467691243,37.16074461520718,3,0,0,0
RTF,47622.12423206545,19.370207053442414,2,0,0,0
RTF,23144.66525334333,8.57444208890555,1,0,0,0
RTF,72166.89022685273,30.278150378087894,3,0,0,0
RTF,67524.32295686971,52.54053826144953,2,0,0,0
RTF,54893.18843850223,31.488647397503712,2,0,0,0
RTF,72328.91023185498,30.54818371975831,3,0,0,0
RTF,55758.79140747386,32.93131901245643,2,0,0,0
RTF,75457.26313858433,35.76210523097387,3,0,0,0
RTF,48114.92677921862,20.191544632031032,2,0,0,0
RTF,70170.40700226717,26.95067833711195,3,0,0,0
RTF,49471.01175977042,22.451686266284042,2,0,0,0
RTF,49117.98366944239,21.86330611573731,2,0,0,0
RTF,129477.55635043951,65.79592725073252,5,0,0,0
RTF,58181.80417691252,36.969673628187536,2,0,0,0
RTF,51265.43697058894,25.442394950981562,2,0,0,0
RTF,75403.79904990165,35.67299841650275,3,0,0,0
RTF,103588.83140348834,52.64805233914723,4,0,0,0
RTF,93017.80826243843,35.029680437397374,4,0,0,0
RTF,94374.27518052931,37.29045863421552,4,0,0,0
RTF,102315.26826569712,50.525447109495175,4,0,0,0
RTF,105022.38447232555,55.0373074538759,4,0,0,0
RTF,48386.94409687561,20.64490682812601,2,0,0,0
RTF,46086.10819174729,16.810180319578826,2,0,0,0
RTF,50927.65939602085,24.87943232670142,2,0,0,0
RTF,75723.15579735072,36.20525966225119,3,0,0,0
RTF,151879.28951619376,73.13214919365626,6,0,0,0
RTF,75819.9643615066,36.36660726917766,3,0,0,0
RTF,121974.01436855839,53.29002394759733,5,0,0,0
RTF,72787.9084189712,31.313180698285354,3,0,0,0
RTF,51251.8261311929,25.419710218654842,2,0,0,0
RTF,103495.62838723406,52.492713978723415,4,0,0,0
RTF,49409.80512293066,22.349675204884434,2,0,0,0
RTF,78599.56504974577,40.999275082909605,3,0,0,0
RTF,95287.4437207914,68.81240620131899,3,0,0,0
RTF,75740.3891783115,36.2339819638525,3,0,0,0
RTF,68337.57920820692,23.895965347011533,3,0,0,0
RTF,69961.65480306798,26.6027580051133,3,0,0,0
RTF,74697.34711253541,34.49557852089235,3,0,0,0
RTF,74523.05344112805,34.20508906854677,3,0,0,0
RTF,56849.64506262346,34.74940843770576,2,0,0,0
RTF,70524.97763589612,27.54162939316021,3,0,0,0
RTF,90615.3902818081,31.025650469680173,4,0,0,0
RTF,48257.76389277732,20.42960648796221,2,0,0,0
RTF,22958.45815332269,8.26409692220448,1,0,0,0
RTF,42884.09641451871,11.473494024197851,2,0,0,0
RTF,81546.9224940587,45.911537490097835,3,0,0,0
RTF,54648.70696577054,31.081178276284234,2,0,0,0
RTF,52098.351411639305,26.83058568606551,2,0,0,0
RTF,147841.09255735294,66.40182092892158,6,0,0,0
RTF,100100.81428788792,46.834690479813204,4,0,0,0
RTF,80777.6852215011,44.62947536916849,3,0,0,0
RTF,77497.6671216139,39.162778536023154,3,0,0,0
RTF,94799.11740913148,37.99852901521912,4,0,0,0
RTF,53616.27226599514,29.360453776658566,2,0,0,0
RTF,96994.9490967138,41.65824849452301,4,0,0,0
RTF,77383.22952072948,38.972049201215796,3,0,0,0
RTF,110797.73167455102,64.66288612425171,4,0,0,0
RTF,110388.49274689436,63.98082124482394,4,0,0,0
RTF,51463.28205845738,25.77213676409564,2,0,0,0
RTF,74696.45403966962,34.49409006611606,3,0,0,0
RTF,47807.31014233024,19.678850237217084,2,0,0,0
RTF,69311.27020782707,25.518783679711774,3,0,0,0
RTF,96063.52535602485,40.105875593374776,4,0,0,0
RTF,74769.52860120445,34.61588100200742,3,0,0,0
RTF,52163.21945742583,26.93869909570971,2,0,0,0
RTF,76775.12930217787,37.95854883696313,3,0,0,0
RTF,88925.81205036033,58.209686750600554,3,0,0,0
RTF,101751.16510092918,49.58527516821527,4,0,0,0
RTF,32061.02143741755,23.43503572902925,1,0,0,0
RTF,100376.04997824106,47.29341663040177,4,0,0,0
RTF,44315.702084072866,13.859503473454772,2,0,0,0
RTF,71895.35593548109,29.82559322580181,3,0,0,0
RTF,68702.73541749039,24.50455902915065,3,0,0,0
RTF,109157.64689815577,61.92941149692627,4,0,0,0
RTF,71582.64279763302,29.304404662721684,3,0,0,0
RTF,71474.26852598714,29.123780876645213,3,0,0,0
RTF,101343.07311507069,48.90512185845114,4,0,0,0
RTF,100498.1827568113,47.49697126135216,4,0,0,0
RTF,49487.48584728775,22.479143078812925,2,0,0,0
RTF,107348.41795187996,58.914029919799944,4,0,0,0
RTF,23137.945656491742,8.563242760819572,1,0,0,0
RTF,47563.80119533383,19.27300199222304,2,0,0,0
RTF,64141.13596715955,46.901893278599246,2,0,0,0
RTF,47678.22319300461,19.463705321674347,2,0,0,0
RTF,100045.29257406775,46.74215429011294,4,0,0,0
RTF,49178.28918822172,21.963815313702867,2,0,0,0
RTF,22943.88290968162,8.239804849469364,1,0,0,0
RTF,46272.483226053446,17.120805376755737,2,0,0,0
RTF,81866.35812396265,46.44393020660442,3,0,0,0
RTF,53798.69916227348,29.664498603789127,2,0,0,0
RTF,137725.27755772596,79.54212926287661,5,0,0,0
RTF,80635.17989260989,44.39196648768315,3,0,0,0
RTF,52176.46455178074,26.960774252967887,2,0,0,0
RTF,75567.10856176118,35.94518093626865,3,0,0,0
RTF,88999.55873696865,58.33259789494777,3,0,0,0
RTF,50182.94095653184,23.63823492755308,2,0,0,0
RTF,133315.38837320617,72.19231395534358,5,0,0,0
RTF,77932.10909292664,39.886848488211044,3,0,0,0
